lambda,xbar,ybar,zbar
360,1.222e-07,1.3398e-08,5.35027e-07
365,9.1927e-07,1.0065e-07,4.0283e-06
370,5.9586e-06,6.511e-07,2.61437e-05
375,3.3266e-05,3.625e-06,0.00014622
380,0.000159952,1.7364e-05,0.000704776
385,0.00066244,7.156e-05,0.0029278
390,0.0023616,0.0002534,0.0104822
395,0.0072423,0.0007685,0.032344
400,0.0191097,0.0020044,0.0860109
405,0.0434,0.004509,0.19712
410,0.084736,0.008756,0.389366
415,0.140638,0.014456,0.65676
420,0.204492,0.021391,0.972542
425,0.264737,0.029497,1.2825
430,0.314679,0.038676,1.55348
435,0.357719,0.049602,1.7985
440,0.383734,0.062077,1.96728
445,0.386726,0.074704,2.0273
450,0.370702,0.089456,1.9948
455,0.342957,0.106256,1.9007
460,0.302273,0.128201,1.74537
465,0.254085,0.152761,1.5549
470,0.195618,0.18519,1.31756
475,0.132349,0.21994,1.0302
480,0.080507,0.253589,0.772125
485,0.041072,0.297665,0.5706
490,0.016172,0.339133,0.415254
495,0.005132,0.395379,0.302356
500,0.003816,0.460777,0.218502
505,0.015444,0.53136,0.159249
510,0.037465,0.606741,0.112044
515,0.071358,0.68566,0.082248
520,0.117749,0.761757,0.060709
525,0.172953,0.82333,0.04305
530,0.236491,0.875211,0.030451
535,0.304213,0.92381,0.020584
540,0.376772,0.961988,0.013676
545,0.451584,0.9822,0.007918
550,0.529826,0.991761,0.003988
555,0.616053,0.99911,0.001091
560,0.705224,0.99734,0.0
565,0.793832,0.98238,0.0
570,0.878655,0.955552,0.0
575,0.951162,0.915175,0.0
580,1.01416,0.868934,0.0
585,1.0743,0.825623,0.0
590,1.11852,0.777405,0.0
595,1.1343,0.720353,0.0
600,1.12399,0.658341,0.0
605,1.0891,0.593878,0.0
610,1.03048,0.527963,0.0
615,0.95074,0.461834,0.0
620,0.856297,0.398057,0.0
625,0.75493,0.339554,0.0
630,0.647467,0.283493,0.0
635,0.53511,0.228254,0.0
640,0.431567,0.179828,0.0
645,0.34369,0.140211,0.0
650,0.268329,0.107633,0.0
655,0.2043,0.081187,0.0
660,0.152568,0.060281,0.0
665,0.11221,0.044096,0.0
670,0.0812606,0.0318004,0.0
675,0.05793,0.0226017,0.0
680,0.0408508,0.0159051,0.0
685,0.028623,0.0111303,0.0
690,0.0199413,0.0077488,0.0
695,0.013842,0.0053751,0.0
700,0.00957688,0.00371774,0.0
705,0.0066052,0.00256456,0.0
710,0.00455263,0.00176847,0.0
715,0.0031447,0.00122239,0.0
720,0.00217496,0.00084619,0.0
725,0.0015057,0.00058644,0.0
730,0.00104476,0.00040741,0.0
735,0.00072745,0.000284041,0.0
740,0.000508258,0.00019873,0.0
745,0.00035638,0.00013955,0.0
750,0.000250969,9.8428e-05,0.0
755,0.00017773,6.9819e-05,0.0
760,0.00012639,4.9737e-05,0.0
765,9.0151e-05,3.55405e-05,0.0
770,6.45258e-05,2.5486e-05,0.0
775,4.6339e-05,1.83384e-05,0.0
780,3.34117e-05,1.3249e-05,0.0
785,2.4209e-05,9.6196e-06,0.0
790,1.76115e-05,7.0128e-06,0.0
795,1.2855e-05,5.1298e-06,0.0
800,9.41363e-06,3.76473e-06,0.0
805,6.913e-06,2.77081e-06,0.0
810,5.09347e-06,2.04613e-06,0.0
815,3.7671e-06,1.51677e-06,0.0
820,2.79531e-06,1.12809e-06,0.0
825,2.082e-06,8.4216e-07,0.0
830,1.55314e-06,6.297e-07,0.0
